Date,Top 10 tickers,Top 10 raw tickers,Top 10 count
2006-04-30,"XOM, GE, C, MSFT, BAC, PG, WMT, PFE, JNJ, AIG","XOM, GE, C, MSFT, BAC, PG, WMT, PFE, JNJ, AIG",10
2006-05-31,"XOM, GE, C, MSFT, BAC, WMT, JNJ, PG, PFE, AIG","XOM, GE, C, MSFT, BAC, WMT, JNJ, PG, PFE, AIG",10
2006-06-30,"XOM, GE, C, MSFT, BAC, WMT, PG, JNJ, PFE, AIG","XOM, GE, C, MSFT, BAC, WMT, PG, JNJ, PFE, AIG",10
2006-07-31,"XOM, GE, MSFT, C, BAC, PFE, WMT, JNJ, PG, MO","XOM, GE, MSFT, C, BAC, PFE, WMT, JNJ, PG, MO",10
2006-08-31,"XOM, GE, MSFT, C, BAC, PFE, PG, JNJ, WMT, MO","XOM, GE, MSFT, C, BAC, PFE, PG, JNJ, WMT, MO",10
2006-09-30,"XOM, GE, MSFT, C, BAC, PFE, WMT, PG, JNJ, AIG","XOM, GE, MSFT, C, BAC, PFE, WMT, PG, JNJ, AIG",10
2006-10-31,"XOM, GE, MSFT, C, BAC, WMT, PG, JNJ, PFE, AIG","XOM, GE, MSFT, C, BAC, WMT, PG, JNJ, PFE, AIG",10
2006-11-30,"XOM, GE, MSFT, C, BAC, PG, PFE, WMT, JNJ, AIG","XOM, GE, MSFT, C, BAC, PG, PFE, WMT, JNJ, AIG",10
2006-12-31,"XOM, GE, MSFT, C, BAC, PG, WMT, JNJ, PFE, AIG","XOM, GE, MSFT, C, BAC, PG, WMT, JNJ, PFE, AIG",10
2007-01-31,"XOM, GE, MSFT, C, BAC, T, PG, WMT, JNJ, PFE","XOM, GE, MSFT, C, BAC, T, PG, WMT, JNJ, PFE",10
2007-02-28,"XOM, GE, MSFT, C, T, BAC, WMT, PG, JNJ, PFE","XOM, GE, MSFT, C, T, BAC, WMT, PG, JNJ, PFE",10
2007-03-31,"XOM, GE, MSFT, C, T, BAC, PG, WMT, MO, PFE","XOM, GE, MSFT, C, T, BAC, PG, WMT, MO, PFE",10
2007-04-30,"XOM, GE, MSFT, C, T, BAC, PG, WMT, PFE, JNJ","XOM, GE, MSFT, C, T, BAC, PG, WMT, PFE, JNJ",10
2007-05-31,"XOM, GE, MSFT, C, T, BAC, PG, WMT, PFE, AIG","XOM, GE, MSFT, C, T, BAC, PG, WMT, PFE, AIG",10
2007-06-30,"XOM, GE, MSFT, T, C, BAC, WMT, PG, AIG, CVX","XOM, GE, MSFT, T, C, BAC, WMT, PG, AIG, CVX",10
2007-07-31,"XOM, GE, MSFT, T, C, BAC, PG, WMT, CVX, CSCO","XOM, GE, MSFT, T, C, BAC, PG, WMT, CVX, CSCO",10
2007-08-31,"XOM, GE, MSFT, T, C, BAC, PG, CSCO, CVX, JNJ","XOM, GE, MSFT, T, C, BAC, PG, CSCO, CVX, JNJ",10
2007-09-30,"XOM, GE, MSFT, T, C, BAC, PG, CSCO, CVX, JNJ","XOM, GE, MSFT, T, C, BAC, PG, CSCO, CVX, JNJ",10
2007-10-31,"XOM, GE, MSFT, T, GOOGL, PG, BAC, C, CSCO, CVX","XOM, GE, MSFT, T, GOOGL, PG, BAC, C, CSCO, CVX",10
2007-11-30,"XOM, GE, MSFT, T, PG, GOOGL, BAC, JNJ, WMT, CVX","XOM, GE, MSFT, T, PG, GOOGL, BAC, JNJ, WMT, CVX",10
2007-12-31,"XOM, GE, MSFT, T, PG, GOOGL, CVX, JNJ, WMT, BAC","XOM, GE, MSFT, T, PG, GOOGL, CVX, JNJ, WMT, BAC",10
2008-01-31,"XOM, GE, MSFT, T, WMT, PG, BAC, JNJ, GOOGL, CVX","XOM, GE, MSFT, T, WMT, PG, BAC, JNJ, GOOGL, CVX",10
2008-02-29,"XOM, GE, MSFT, T, PG, WMT, CVX, BAC, JNJ, IBM","XOM, GE, MSFT, T, PG, WMT, CVX, BAC, JNJ, IBM",10
2008-03-31,"XOM, GE, MSFT, T, PG, WMT, JNJ, CVX, BAC, IBM","XOM, GE, MSFT, T, PG, WMT, JNJ, CVX, BAC, IBM",10
2008-04-30,"XOM, GE, MSFT, T, WMT, PG, CVX, JNJ, GOOGL, BAC","XOM, GE, MSFT, T, WMT, PG, CVX, JNJ, GOOGL, BAC",10
2008-05-31,"XOM, GE, MSFT, T, WMT, CVX, PG, JNJ, GOOGL, IBM","XOM, GE, MSFT, T, WMT, CVX, PG, JNJ, GOOGL, IBM",10
2008-06-30,"XOM, GE, MSFT, WMT, CVX, T, PG, JNJ, GOOGL, IBM","XOM, GE, MSFT, WMT, CVX, T, PG, JNJ, GOOGL, IBM",10
2008-07-31,"XOM, GE, MSFT, WMT, PG, JNJ, T, CVX, IBM, BAC","XOM, GE, MSFT, WMT, PG, JNJ, T, CVX, IBM, BAC",10
2008-08-31,"XOM, GE, MSFT, WMT, PG, JNJ, T, CVX, IBM, AAPL","XOM, GE, MSFT, WMT, PG, JNJ, T, CVX, IBM, AAPL",10
2008-09-30,"XOM, GE, MSFT, WMT, PG, JNJ, JPM, CVX, T, BAC","XOM, GE, MSFT, WMT, PG, JNJ, JPM, CVX, T, BAC",10
